KEY,Korea
BOAST_GET_GACHA,{0}님이 @{0}'{1}@ 선수를 {0}으로 획득하였습니다!
BOAST_GET_TRADE,{0}님이 트레이드로 @{0}'{1}@ 선수를 획득하였습니다!
BOAST_GET_ENHANCE,{0}님이 @{0}'{1}@ 선수를 10강에 성공했습니다!
TIME_REMAIN_DAY,남은 시간 {0}일
TIME_REMAIN_HOUR,남은 시간 {0}시간
TIME_REMAIN_MINUTE,남은 시간 {0}분
TIME_REMAIN_SECOND,남은 시간 {0}초
COUNT_ROUND,{0}회
COUNT_MATCH_ROUND,{0}차전
COUNT_GAMEMATCH_ROUND,{0}차전/{1}경기
COUNT_STUFF,{0}개
COUNT_SCORE,{0} 점
COUNT_RANK,{0} 위
COUNT_RANK_NOSPACE,{0}위
COUNT_RANK_BRACKET,({0}위)
COUNT_WIN_NOSPACE,{0}승
COUNT_DRAW_NOSPACE,{0}무
COUNT_LOSE_NOSPACE,{0}패
FRIEND_REMAIN_DAY,{0}일 전 접속
FRIEND_REMAIN_HOUR,{0}시간 전 접속
FRIEND_REMAIN_MINUTE,{0}분 전 접속
FRIEND_REMAIN_SECOND,1분 전 접속
FRIEND_SEARCH_TEXT,터치하여 친구를 검색하세요
RANK_CHARGE_TICKET_NOTICE,도전권을 모두 소진하였습니다.\n[FFEA00FF]루비 {0}개를 소모[-]하여 입장하실 수 있습니다.\n입장하시겠습니까?
RANK_NOTICE_PROMOTION,축하합니다.\n[FFDE00FF]{0}[-]등급으로 [FF3F3FFF]승급[-]하였습니다.
RANK_NOTICE_REMAIN,[FF3F3FFF]잔류[-]하여 [FFDE00FF]{0}[-]에 편성되었습니다.
RANK_NOTICE_DEMOTION,[FF3F3FFF]강등[-]하여 [FFDE00FF]{0}[-]에 편성되었습니다.
RANK_NOTICE_PLACEMENT_COMPLETE,배치경기를 완료하였습니다.[FFDE00FF]{0}[-]에 [FF3F3FFF]편성[-]되었습니다.
RANK_RANKING,순위
RANK_GRADE,등급
RANK_POINT_UPPER,승점 {0}이상
RANK_END_GAME,시즌이 종료되었습니다.
RANK_END_TIME,종료되었습니다.
RANK_DEFAULT_SCORE,- 점
RANK_EXCEPT_RANK,순위권제외
RANK_TOTAL_RECORD,[FFE400FF]{0}승[-] [64D822FF]{1}무[-] [44A3F4FF]{2}패[-]
RANK_START_TIME_NOTICE,{0}시\n시즌시작
RANK_REMAIN_DAY,시즌종료 : {0}일 남음
RANK_REMAIN_HOURMINUTE,시즌종료 : {0}시간 {1}분 남음
RANK_REMAIN_MINUTE,시즌종료 : {0}분 남음
RANK_PLACEMENT_REMAIN,현재 배치경기 [fddd1e]{0}번[-] 남음
SEASON_RECENT_MATCH,최근 {0}경기
SEASON_GAME_RECORD,{0}승 {1}무 {2}패
SHOP_NOTICE_BUY,{0} 아이템을 구매하시겠습니까?
SETDECK_TEAM_HAVE_ACTIVE,{0} 선수를 {1}명 1군 라인업에 등록시 활성화
SETDECK_ENHANCE_HAVE_ACTIVE,{0} {1}강 이상 {2}명 1군 라인업에 등록시 활성화
KOREA_SERIES,한국시리즈
PLAYOFF,플레이오프
SEMI_PLAYOFF,준플레이오프
WILDCARD,와일드카드
SEASON,시즌
FILTER_TOTAL,종합능력
FILTER_ENHANCE,강화단계
FILTER_NAME,이름
FILTER_GAINTIME,획득순서
FILTER_TEAM,구단
FILTER_YEAR,연도
FILTER_RANK,등급
FILTER_NAME,이름
FILTER_LEVEL,레벨
ETC,기타
POST_MAIN_NOTICE,보관 기간이 지난 메시지는 자동으로 삭제됩니다.
CREATE_ACOUNT_NOTICE,"[F4E62BFF]{0}[-] [AEB1B6FF]창단하시겠습니까?
선택하신 구단의 선수가 지급됩니다.[-]"
CREATE_ACOUNT_DEFAULT,터치하여 구단명을 입력해 주세요.
TIME_REMAIN_DAY_HOUR_MINUTE,남은 시간 {0}일 {1}시 {2}분
SEASONMODE_TH_MINI,시즌 {0}차전
SEASONMODE_RANKING_MINI,현재 {0}위
TRANNING_COUNT_MINI,{0}명 훈련중...
CARD_COUNT_OF_MAX,({0}/200)
LVCOUNT,LV{0}
NO_ENTRY,출전불가
NO_ENTRY_COUNT,({0}/4)
MATERIAL_CARD_COUNT,재료카드 선택
REINFORCE_EXPLAIN_TEXT,강화시! 새로운 스킬을 습득할 수 있습니다.
REINFORCE_EXPLAIN_TEXT2,대상카드와 동일한 재료카드가 필요합니다.
GRADEUP_EXPLAN_TEXT,승급한 카드의 레벨은 초기화 됩니다.
GRADEUP_EXPLAN_TEXT2,대상카드의 별(    ) 개수만큼 동일한 재료카드가 필요합니다.
SKILL_INTERVAL_RATE,발동 확률 : {0}/{1}/{2}/{3}/{4}%
SKILL_BALL_QUALITY,구질 : {0}/{1}/{2}/{3}/{4}
SKILL_DETAIL_EXPLANE,스킬을 터치하면 스킬 상세 정보를 볼 수 있습니다.
HAVE_TROPHY_COUNT,보유 트로피 : 
TROPHY_COMBINE_DESC,새로운 스킬과 Rank를 부여 할 수 있습니다.
RANKCHANGE_TICKET_DESC,랭크변경권을 사용하면 스킬은 변경되지 않고 Rank만 변경됩니다.
TICKET_BE,{0}장 남음
FRACTION,{0}/{1}
TROPHY_COMBINE_COUNT,상위 트로피 조합시
TROPHY_COMBINE_COUNT_INFO,필요수량 {0}개
SELL_PRICE,판매가격 :
ALL_COUNT,전체 수량 :
SELECT_ITEM_PLZ,아이템을\n선택해\n주세요!
LEAGUE_RACE_SCORE,{0} : {1}
TICKET_COUNT,{0}/3
END_TIME,{0}시 {1}분 남음
LEAGUE_RACE_TIP,경기 시작시 라인업으로 시작합니다.
SUCCESSIV_VICTORIES_NUM,{0}연승
RANKING_RECORD,{0}전 [7FFF00]{1}[-]승 {2}패
NEXT_RANK_LEAGUE,다음리그까지
NEXT_RANK_TIME,{0}일 {1}시 {2}분
FREE,무료
SEASON_REMAINING_TIME,[88D229]{0}일 {1}시 {2}분[-] 남았습니다.
BEST_SCORE,최고득점
BEST_ROUND,최고라운드
TRAINING_READY,훈련 대기 중
LIMIT_TIME,남은 시간
NO_RANKING_SEASON,랭킹 시즌이 종료되었습니다.
LACK,[ED4C00]부족[-]
WALKOFF_LOCK_LEVEL,팀레벨{0} 잠금해제
SEASON_INSTANCE_LOADING_TEXT,경기 결과를 집계하고 있습니다 
BE_LEFT,남음
AVAILABLE_REWARD,획득 가능 보상
TRAINING_LOCK_EXPLAIN,팀레벨 {0} 잠금해제
TRAINING_SELECT_EXPLAIN,훈련시간이 늘어 날수록 획득 경험치와\n보상이 늘어납니다.
TRAINING_SELECT_EXCEPTION,5명의 선수가 모두 있어야 훈련을 시작할 수 있습니다.
TRAINING_COST_TIME,훈련 소요 시간 : 
TIME,시간
TRAINING_TIME1,1 HOUR
TRAINING_TIME2,3 HOUR
TRAINING_TIME3,10 HOUR
TRAINING_TIME_RESULT,훈련 {0}시간 보상으로
TRAINING_ITEM_GET,를 받았습니다.
TRAINING_RESULT_TITLE,훈련 완료!
MAIL_TXT,메일
MAIL_EXPLAIN,우편은 받은후 7일이\n지나면 사라집니다.
MAIL_TALKBOX,새로운 선물이\n도착했습니다~
MAIL_DUE_TIME,{0}일 {1}시간 남음
MAIL_ITEM_MANY_GET,{0} 외 {1}종
GOLD,골드
RUBY,루비
HEART,플레이볼
RANDOM_SCOUT_EXPLAINE,포인트가 차면 적립금을 획득합니다.
RANDOM_SCOUT_EXPLAINE2,포인트는 전설 선수를 획득할때마다 쌓입니다.
APPOINT_ABLE_PLAYER,현재 영입 가능한 선수!
NO_LEGEND_SCOUT,전설 선수 영입 불가!
APPOINT_REMAIN_TIME,선수 영입까지 남은 시간
SCOUT_NORMAL,1~3성 선수를 영입합니다.
SCOUT_PREMIUM,3~5성 선수를 영입힙니다.
APPOINT_REMAIN_TIME2,영입까지 남은 시간
APPOINT_EXPLAIN,아래 30개의\n선수목록 속에 지정선수가\n들어 있습니다.
APPOINT_TALKBOX,새로운 선수가 도착했습니다~
FILE_DOWNLOAD_TITLE,파일 다운로드 안내
FILE_DOWNLOAD_CONTEXT,업데이트를 위해 {0}MB의 파일을 다운로드 합니다.\n진행하시겠습니까?
NO_WIFI_CHECK,(wifi가 아닐 경우 3G/LTE데이터가 소모됩니다.)
FILE_DOWNLOAD_FAIL,업데이트를 위한 파일 다운로드에 실패하였습니다.\n재접속을 진행하시겠습니까?
SERVER_CHECK_TITLE,서버 점검 안내
NO_SERVER_CONNECT,서버에 접속 할 수 없습니다.\n재접속 하시겠습니까?
GUEST_LOGIN,게스트 로그인
GUEST_LOGIN_CHECK,게스트 로그인은 앱 삭제 및 타 기기 접속시\n플레이 데이터가 삭제 될 수 있습니다.\n게스트로 로그인 하시겠습니까?
CLAUSE_CHECK,필수 약관에 모두 동의해야\n게임 진행이 가능합니다.
AGREE_MESSAGE,{0}년 {1}월 {2}일 정보 수신 동의가 다음과 같이\n{3} 동의하였습니다.
AGREE_GAMEUSE,게임 이용 동의(필수)
AGREE_PERSONALDATA,정보이용동의(필수)
AGREE_NIGHTPUSH,야간 푸시 알림(선택)
GAMEUSE,게임이용약관
PERSONALDATA,개인정보동의
NIGHTPUSH,야간광고 전송에 대한 수신동의
SELECT,(선택)
NECESSARY,(필수)
AGREE,동의합니다.
TEAMCREATE_EXPLAIN,원하는 팀을 골라\n팀명을 입력하여 창단을 해주세요.
TEAMCREATE_EXCEPTION,"※한글 6자 이내,\n영문 12자 이내"
TEAMNAME_ENTER,팀명을 입력해주세요.
TEAMCREATE_QUESTION,창단하시겠습니까?
TEAMNAME,팀명
HOUR_MINUTE_SECOND,{0}시 {1}분 {2}초
