Assets/_Temp/FrontUI.prefab: nativeWidgets=0; missingScripts=0
Assets/_Temp/Popup.prefab: nativeWidgets=0; missingScripts=0
Assets/BundleResource/Effect/Fx_Rotate_Light06.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Fire_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Fire_Loop.prefab: nativeWidgets=0; missingScripts=1
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_FireRain_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Ground_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Ice_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Ice_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_IceRain_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Lightning_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Lightning_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_LightningRain_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_Rain_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ArrowFX_SkullRain_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_BarrierFX_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_BarrierFX_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_BG.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ChargeFX_Normal_5sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ChargeFX_Normal_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ChargeFX_Wind01_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ChargeFX_Wind01_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ChargeFX_Wind02_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ChargeFX_Wind02_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Dark_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Dark_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Fire_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Fire_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Ice_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Ice_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Lightning_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Lightning_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Line_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CircleFX_Line_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CloudFlashFX_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_CloudFlashFX_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_ExplosionFX_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Dark01_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Dark01_Loop.prefab: nativeWidgets=0; missingScripts=1
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Dark02_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Dark02_Loop.prefab: nativeWidgets=0; missingScripts=1
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Dark03_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Dark03_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Fire01_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Fire02_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice01_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice01_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice02_3sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice02_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Ice03_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Lightning01_1shot.prefab: nativeWidgets=0; missingScripts=1
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Lightning02_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Lightning03_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line01_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line02_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line03_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_GroundFX_Line03_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Dark_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Fire_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Ice_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Lightning_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_HitFX_Normal01_1shot.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_LightDustFX_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_LightDustFX_Loop.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/_Prefab/FTME03_LineSphereFX_4sec.prefab: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/FT_MagicEffect_Vol03/Scene/FTME03_SampleScene.unity: nativeWidgets=0; missingScripts=0
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_00_loop.prefab: nativeWidgets=0; missingScripts=4
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_00_oneShot.prefab: nativeWidgets=0; missingScripts=4
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_01_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_01_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_02_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_02_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_03_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_03_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_04_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_04_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_05_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_05_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_06_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_06_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_07_loop.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_07_oneShot.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_08_loop.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_08_oneShot.prefab: nativeWidgets=0; missingScripts=3
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_09_loop.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Prefab/Eff_FireWorks_09_oneShot.prefab: nativeWidgets=0; missingScripts=2
Assets/MainGame/AssetStore/KTK_FireWorks_Effects_Volume1/Scenes/FireWorks_Effects_Sample1.unity: nativeWidgets=0; missingScripts=24
Assets/MainGame/AssetStore/ShockWave Effect/Scenes/Demo.unity: nativeWidgets=0; missingScripts=0
Assets/MainGame/PVP_Tester/Scene/Disconnect.unity: nativeWidgets=2; missingScripts=0
Assets/MainGame/PVP_Tester/Scene/Login.unity: nativeWidgets=105; missingScripts=3
